step,agent,old_belief,new_belief,reason,channel
0,0,neutral,believes,rumor evaluation,public_speech
0,0,believes,reject,rumor evaluation,public_speech
0,1,neutral,believes,rumor evaluation,whatsapp
0,1,believes,reject,rumor evaluation,whatsapp
0,1,reject,believes,rumor evaluation,whatsapp
0,1,believes,reject,rumor evaluation,whatsapp
0,1,reject,believes,rumor evaluation,whatsapp
0,2,neutral,reject,rumor evaluation,whatsapp
0,2,reject,believes,rumor evaluation,whatsapp
0,2,believes,reject,rumor evaluation,whatsapp
0,2,reject,believes,rumor evaluation,whatsapp
0,2,believes,reject,rumor evaluation,whatsapp
0,3,neutral,reject,rumor evaluation,broadcast
0,3,reject,believes,rumor evaluation,broadcast
0,3,believes,reject,rumor evaluation,broadcast
0,4,neutral,believes,rumor evaluation,whatsapp
0,4,believes,reject,rumor evaluation,whatsapp
0,4,reject,believes,rumor evaluation,whatsapp
0,4,believes,reject,rumor evaluation,whatsapp
0,4,reject,believes,rumor evaluation,whatsapp
0,5,neutral,reject,rumor evaluation,direct
0,5,reject,believes,rumor evaluation,direct
0,5,believes,reject,rumor evaluation,direct
0,5,reject,believes,rumor evaluation,direct
0,5,believes,reject,rumor evaluation,direct
0,5,reject,believes,rumor evaluation,direct
0,6,neutral,believes,rumor evaluation,public_speech
0,6,believes,reject,rumor evaluation,public_speech
0,6,reject,believes,rumor evaluation,public_speech
0,6,believes,reject,rumor evaluation,public_speech
0,6,reject,believes,rumor evaluation,public_speech
0,7,neutral,believes,rumor evaluation,whatsapp
0,7,believes,reject,rumor evaluation,whatsapp
0,7,reject,believes,rumor evaluation,whatsapp
0,7,believes,reject,rumor evaluation,whatsapp
0,8,neutral,reject,rumor evaluation,broadcast
0,8,reject,believes,rumor evaluation,broadcast
0,9,neutral,reject,rumor evaluation,whatsapp
0,9,reject,believes,rumor evaluation,whatsapp
0,9,believes,reject,rumor evaluation,whatsapp
0,9,reject,believes,rumor evaluation,whatsapp
1,0,reject,believes,rumor evaluation,public_speech
1,0,believes,reject,rumor evaluation,public_speech
1,1,believes,reject,rumor evaluation,whatsapp
1,1,reject,believes,rumor evaluation,whatsapp
1,1,believes,reject,rumor evaluation,whatsapp
1,1,reject,believes,rumor evaluation,whatsapp
1,1,believes,reject,rumor evaluation,whatsapp
1,2,reject,believes,rumor evaluation,whatsapp
1,2,believes,reject,rumor evaluation,whatsapp
